Symbol,Company_Name,Face_Value,Year_End,O.S. Shares,Registrar
AGTL,Al-Ghazi Tractors Limited,5,Dec,"57,964,201",FAMCO Associates (Pvt.) Limited
ATLH,Atlas Honda Limited,10,Mar,"124,087,935",Hameed Majeed Associates (Pvt.) Limited
DFML,Dewan Farooque Motors Limited,10,Jun,"138,735,242",BMF Consultants Pakistan (Pvt.) Limited
GHNL,Ghandhara Nissan Ltd,10,Jun,"57,002,500",CDC Share Registrar Services Limited
GHNI,Ghandhara Industries Limited,10,Jun,"42,608,844",Hameed Majeed Associates (Pvt.) Limited
GAIL,Ghani Automobile Industries Limited,10,Jun,"50,028,880",Corplink (Pvt.) Limited
HINO,HinoPak Motors Limited,10,Mar,"24,801,120",FAMCO Associates (Pvt.) Limited
HCAR,Honda Atlas Cars (Pakistan) Limited,10,Mar,"142,800,000",Hameed Majeed Associates (Pvt.) Limited
INDU,Indus Motor Company Limited,10,Jun,"78,600,000",CDC Share Registrar Services Limited
MTL,Millat Tractors Limited,10,Jun,"56,057,751",Hameed Majeed Associates (Pvt.) Limited
PKSU,Pak Suzuki Motor Company Ltd,10,Dec,"82,299,851",CDC Share Registrar Services Limited
SAZEW,Sazgar Engineering Works Limited,10,Jun,"46,496,893",Corptec Associates (Pvt.) Limited
AGRT,Agriautos Industries Limited,5,Jun,"28,800,000",FAMCO Associates (Pvt.) Limited
ATBA,Atlas Battery Limited,10,Jun,"24,359,676",Hameed Majeed Associates (Pvt.) Limited
BWHL,Baluchistan Wheels Limited,10,Jun,"13,334,250",THK Associates (Pvt.) Limited
BELA,Bela Automotive Limited,10,Jun,"5,800,000",JWAFFS Registrar Services (Pvt.) Limited
DWAE,Dewan Automotive Engineering Limited,10,Jun,"21,400,000",BMF Consultants Pakistan (Pvt.) Limited
EXIDE,Exide Pakistan Limited,10,Mar,"7,768,618",THK Associates (Pvt.) Limited
GTYR,General Tyre and Rubber Co. of Pakistan Limited,10,Jun,"121,933,350",CDC Share Registrar Services Limited
LOADS,Loads Limited,10,Jun,"251,250,000",CDC Share Registrar Services Limited
PTL,Panther Tyres Ltd.,10,Jun,"140,000,000",
THALL,Thal Limited,5,Jun,"81,029,917",FAMCO Associates (Pvt.) Limited
EMCO,Emco Industries Limited,10,Jun,"34,999,667",Corplink (Pvt.) Limited
JOPP,Johnson and Phillips (Pakistan) Limited,10,Jun,"5,450,000",C & K Management Associates (Pvt.) Limited
PAEL,Pak Elektron Limited,10,Dec,"497,681,485",Corplink (Pvt.) Limited
PELPS,Pak Elektron(Pref),10,Jun,"44,957,592",
PCAL,Pakistan Cables Limited,10,Jun,"35,577,970",THK Associates (Pvt.) Limited
SIEM,Siemens Pakistan Engineering Co. Limited,10,Sep,"8,247,037",THK Associates (Pvt.) Limited
WAVES,Waves Singer Pakistan Limited,10,Dec,"281,406,088",Corplink (Pvt.) Limited
ACPL,Attock Cement (Pakistan) Limited,10,Jun,"137,426,961",FAMCO Associates (Pvt.) Limited
BWCL,Bestway Cement Limited,10,Jun,"596,252,783",THK Associates (Pvt.) Limited
CHCC,Cherat Cement Company Limited,10,Jun,"194,295,038",CDC Share Registrar Services Limited
DGKH,D.G. Khan Cement Company Limited,10,Jun,"438,119,097",THK Associates (Pvt.) Limited
DADC,Dadabhoy Cement Industries Limited,10,Jun,"98,236,644",Technology Trade (Pvt.) Limited
DNCC,Dandot Cement Company Limited,10,Jun,"94,840,000",Corplink (Pvt.) Limited
DCL,Dewan Cement Limited,10,Jun,"484,113,343",BMF Consultants Pakistan (Pvt.) Limited
FCCL,Fauji Cement Company Limited,10,Jun,"1,379,815,025",Corplink (Pvt.) Limited
FECTC,Fecto Cement Limited,10,Jun,"50,160,000",F.D. Registrar Services (SMC-Pvt.) Limited
FYCC,Flying Cement Company Limited,10,Jun,"376,000,000",THK Associates (Pvt.) Limited
GWLC,Gharibwal Cement Limited,10,Jun,"400,273,960",Corplink (Pvt.) Limited
JVDC,Javedan Corporation Limited,10,Jun,"317,383,706",CDC Share Registrar Services Limited
JVDCPS,Javedan Corporation Limited (Pref Shares),10,Jun,"50,500",CDC Share Registrar Services Limited
KOHC,Kohat Cement Limited,10,Jun,"200,861,297",Hameed Majeed Associates (Pvt.) Limited
